"","X","channelId","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1404",1404,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Is it a random poll, who is being polled ? artificial intelligence could target certain group to poll!","Is it a random poll, who is being polled ? artificial intelligence could target certain group to poll!","@danli3659","https://yt3.ggpht.com/ytc/AIf8zZTMyqM9jorYMD7V7w7AkeG_INc3B17niOTPw5f1=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCrWMnRsgeEubuOKBMwYw6RQ","UCrWMnRsgeEubuOKBMwYw6RQ",TRUE,"none",1,"2023-11-07T02:57:20Z","2023-11-07T03:02:42Z","UgyMfgUS2jmzHoROXsZ4AaABAg",NA,NA
"1405",1405,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Wow surprising the worst president in history is poling lower than best best president in my lifetime.","Wow surprising the worst president in history is poling lower than best best president in my lifetime.","@user-tv2fs7ee1r","https://yt3.ggpht.com/ytc/AIf8zZRZLFMR-R4xeoqbAVOPUXwLj9C5lceAQKm4atUmWELptqohth573bQDaOMPra4I=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC7ZlirSUaqB-Ao8Lf5C3c7w","UC7ZlirSUaqB-Ao8Lf5C3c7w",TRUE,"none",1,"2023-11-07T02:56:47Z","2023-11-07T02:56:47Z","UgzqgFSvgEe6ZmlVIsl4AaABAg",NA,NA
"1406",1406,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","They are trying to destroy orange man, having him in a court house but people can relate to how the government can destroy you if they want to.","They are trying to destroy orange man, having him in a court house but people can relate to how the government can destroy you if they want to.","@andretigiovaneti7587","https://yt3.ggpht.com/ytc/AIf8zZRvmeCpj3jQWbL7CPRdv-7OvFSxT7DYUSNwYlQOng=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCzbE0AbvE4rvysp9P1m3H-A","UCzbE0AbvE4rvysp9P1m3H-A",TRUE,"none",0,"2023-11-07T02:55:03Z","2023-11-07T02:55:03Z","UgzMAjR65w1SPPpvI-t4AaABAg",NA,NA
"1407",1407,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","You can&#39;t trust polls. Remember Hillary Clinton&#39;s she got slapped in the face. I do believe Trump will win if our government doesn&#39;t stop him first.","You can't trust polls. Remember Hillary Clinton's she got slapped in the face. I do believe Trump will win if our government doesn't stop him first.","@mrs.maakshif","https://yt3.ggpht.com/ytc/AIf8zZRR0W9QWeOAFXdZ3dNkHlfCF_oyKLzFq-kpFDXluo6E7RM4toICiKw88MFcZSCO=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCU1ftYx-88CpUD9_WJskWUg","UCU1ftYx-88CpUD9_WJskWUg",TRUE,"none",0,"2023-11-07T02:54:34Z","2023-11-07T02:54:34Z","UgyReLbd3is0LHAX91V4AaABAg",NA,NA
"1408",1408,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Kinda crazy a career criminal and con men is allowed to run for President lol<br>Does that mean anyone can commit any crimes and run for pro eso deny to get away with it?<br>People really need to touch grass and stop looking at the propaganda tube","Kinda crazy a career criminal and con men is allowed to run for President lol
Does that mean anyone can commit any crimes and run for pro eso deny to get away with it?
People really need to touch grass and stop looking at the propaganda tube","@diegochavez758","https://yt3.ggpht.com/ytc/AIf8zZTnpN7yE7GlBKDODWsrMW-8GHqxWYLvbi9kWubB=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCk-adMdZdpwyiwKrXdinC9w","UCk-adMdZdpwyiwKrXdinC9w",TRUE,"none",0,"2023-11-07T02:53:53Z","2023-11-07T02:53:53Z","UgyrQsxXyGZ2rR1cDY54AaABAg",NA,NA
"1409",1409,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Only way he has taken this huge of a jump is because democrats realized they F&#39;ed up hahahaha<U+0001F605><U+0001F605><U+0001F605><U+0001F605><U+0001F605>  I&#39;m glad trump lost in 2020 that way everyone had 4 years of trump and 4 years of biden.  I love saying &quot;I told you so&quot;","Only way he has taken this huge of a jump is because democrats realized they F'ed up hahahaha<U+0001F605><U+0001F605><U+0001F605><U+0001F605><U+0001F605>  I'm glad trump lost in 2020 that way everyone had 4 years of trump and 4 years of biden.  I love saying ""I told you so""","@LuanNguyen-rj1bt","https://yt3.ggpht.com/ytc/AIf8zZSSQoEOLG2gLcm18Nb_vAYiJeu-uG7bYZzGgg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCo83m5YqbRNbyej1zClzb1w","UCo83m5YqbRNbyej1zClzb1w",TRUE,"none",0,"2023-11-07T02:53:48Z","2023-11-07T02:55:56Z","UgwyxSb8jZWiNRtdgZF4AaABAg",NA,NA
"1410",1410,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","You can poll all ya want. As long as Dead Votes Matter support Democrats we are doomed","You can poll all ya want. As long as Dead Votes Matter support Democrats we are doomed","@charleshemphill8859","https://yt3.ggpht.com/ytc/AIf8zZQfvtZaQLhSv3N-3ZlK0ZXEUp49z-QLsnXpqaQCQf27wyuAjYVEJzsOIDZsLSNt=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCE8fTApbMZFArTzgLhnGlHw","UCE8fTApbMZFArTzgLhnGlHw",TRUE,"none",0,"2023-11-07T02:53:29Z","2023-11-07T02:53:29Z","Ugy5AguklbiYnjof42t4AaABAg",NA,NA
"1411",1411,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","That has to be embarrassing you took your information from a landline poll","That has to be embarrassing you took your information from a landline poll","@dr9gonkid20","https://yt3.ggpht.com/ytc/AIf8zZQOquFjqCCmk2M61oU7Crruj1NCRrOvX66eaA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCjxXiMlrDvTa8PTGcvkkaFw","UCjxXiMlrDvTa8PTGcvkkaFw",TRUE,"none",0,"2023-11-07T02:51:10Z","2023-11-07T02:51:10Z","UgxtFh47P1v3fonT0gF4AaABAg",NA,NA
"1412",1412,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Only if America had free and fair election. The country would not be in this mess. No more mail in ballots.","Only if America had free and fair election. The country would not be in this mess. No more mail in ballots.","@briankreger433","https://yt3.ggpht.com/ytc/AIf8zZTpGkMcBN3KU7AOVhjbfEiYlu_uRHgkU75sxA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCE9D0AFKepRKSMMCvFO6vEQ","UCE9D0AFKepRKSMMCvFO6vEQ",TRUE,"none",2,"2023-11-07T02:49:07Z","2023-11-07T02:49:07Z","UgzWU7BSmYpueZCUNCR4AaABAg",NA,NA
"1413",1413,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","GOD BLESS PRESIDENT BIDEN. 8 MORE YEARS JO BIDEN.TRUMP WILL NOT WIN 24.BIDEN BEIDEN 24 WINNER.<U+0001F389><U+0001F389><U+0001F389><U+0001F389><U+0001F605><U+0001F605><U+0001F605><U+0001F605><U+0001F605>","GOD BLESS PRESIDENT BIDEN. 8 MORE YEARS JO BIDEN.TRUMP WILL NOT WIN 24.BIDEN BEIDEN 24 WINNER.<U+0001F389><U+0001F389><U+0001F389><U+0001F389><U+0001F605><U+0001F605><U+0001F605><U+0001F605><U+0001F605>","@TrinidadVillalobosjr-xp8qu","https://yt3.ggpht.com/ytc/AIf8zZSzlPe0KvUHHGTY6LPXJH56o4hMtt8bK68XMUi9BDPxIAKgGKlAfp_o9BUeMt_F=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCdvuF9zp9p2WvD3CdtMdkfg","UCdvuF9zp9p2WvD3CdtMdkfg",TRUE,"none",0,"2023-11-07T02:49:05Z","2023-11-07T02:49:05Z","UgyK-o-QetqP2MiG1O54AaABAg",NA,NA
